system_name,id,staged_system_id,name,profile_name,product_code,dimensions,length_m,sheet_format,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,bal_rating,uom,image_url,website_url,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at
DESIGNER GROOVE VJ100,,,VJ100 — 2400mm sheet,VJ100 — 2400mm sheet,MDCD241209VJP,9mm thickness; 2400mm × 1200mm; 19.3kg per sheet,,Sheet,2400,1200,,9,,,,,19.3,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,1,pending_review,,
DESIGNER GROOVE VJ100,,,VJ100 — 2700mm sheet,VJ100 — 2700mm sheet,MDCD271209VJP,9mm thickness; 2700mm × 1200mm; 21.7kg per sheet,,Sheet,2700,1200,,9,,,,,21.7,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,2,pending_review,,
DESIGNER GROOVE VJ100,,,VJ100 — 3000mm sheet,VJ100 — 3000mm sheet,MDCD301209VJP,9mm thickness; 3000mm × 1200mm; 24.2kg per sheet,,Sheet,3000,1200,,9,,,,,24.2,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,3,pending_review,,
DESIGNER GROOVE VJ150,,,VJ150 — 2400mm sheet,VJ150 — 2400mm sheet,MDCD241209VJP15,9mm thickness; 2400mm × 1200mm; 19.3kg per sheet,,Sheet,2400,1200,,9,,,,,19.3,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,1,pending_review,,
DESIGNER GROOVE VJ150,,,VJ150 — 2700mm sheet,VJ150 — 2700mm sheet,MDCD271209VJP15,9mm thickness; 2700mm × 1200mm; 21.7kg per sheet,,Sheet,2700,1200,,9,,,,,21.7,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,2,pending_review,,
DESIGNER GROOVE VJ150,,,VJ150 — 3000mm sheet,VJ150 — 3000mm sheet,MDCD301209VJP15,9mm thickness; 3000mm × 1200mm; 24.2kg per sheet,,Sheet,3000,1200,,9,,,,,24.2,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,3,pending_review,,
DESIGNER GROOVE Regency150,,,Regency150 — 2400mm sheet,Regency150 — 2400mm sheet,MDCD241209REGNP,9mm thickness; 2400mm × 1200mm; 19.3kg per sheet,,Sheet,2400,1200,,9,,,,,19.3,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,1,pending_review,,
DESIGNER GROOVE Regency150,,,Regency150 — 2700mm sheet,Regency150 — 2700mm sheet,MDCD271209REGNP,9mm thickness; 2700mm × 1200mm; 21.7kg per sheet,,Sheet,2700,1200,,9,,,,,21.7,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,2,pending_review,,
DESIGNER GROOVE Regency150,,,Regency150 — 3000mm sheet,Regency150 — 3000mm sheet,MDCD301209REGNP,9mm thickness; 3000mm × 1200mm; 24.2kg per sheet,,Sheet,3000,1200,,9,,,,,24.2,,,,,,,,,sheet,,https://www.forest.one/decorative/ceiling-and-wall-linings/designer-groove.html,,,3,pending_review,,
