table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
public,staged_systems,12,dimensions,text,text,YES,null
public,staged_systems,13,length_m,numeric,numeric,YES,null
public,staged_systems,14,double_sided,boolean,bool,NO,false
public,staged_systems,15,hero_image_url,text,text,YES,null
public,staged_systems,16,website_url,text,text,YES,null
public,staged_systems,17,source_label,text,text,YES,null
public,staged_systems,18,source_url,text,text,YES,null
public,staged_systems,19,sheet_format,text,text,YES,null
public,staged_systems,20,fire_rating,text,text,YES,null
public,staged_systems,21,acoustic_rating,text,text,YES,null
public,staged_systems,22,moisture_resistant,boolean,bool,NO,false
public,staged_systems,23,structural_grade,text,text,YES,null
public,staged_systems,24,install_guide_url,text,text,YES,null
public,staged_systems,25,tech_data_url,text,text,YES,null
public,staged_systems,26,sort_order,integer,int4,NO,0
public,staged_systems,27,extraction_confidence,numeric,numeric,YES,null
public,staged_systems,28,verification_status,text,text,NO,'pending_review'::text
public,staged_systems,29,verified_by,uuid,uuid,YES,null
public,staged_systems,30,verified_at,timestamp with time zone,timestamptz,YES,null
public,staged_systems,31,reviewer_notes,text,text,YES,null
public,staged_systems,32,created_at,timestamp with time zone,timestamptz,NO,now()
public,staged_systems,33,updated_at,timestamp with time zone,timestamptz,NO,now()
public,staged_systems,34,notes,text,text,YES,null
public,staged_systems,35,parser_notes,jsonb,jsonb,YES,null
public,staged_systems,36,bal_rating,text,text,YES,null
public,staged_systems,37,extracted_at,timestamp with time zone,timestamptz,YES,null
public,staged_systems,38,australian_made,boolean,bool,YES,null
public,verification_events,1,id,uuid,uuid,NO,gen_random_uuid()
public,verification_events,2,entity_type,text,text,NO,null
public,verification_events,3,entity_id,uuid,uuid,NO,null
public,verification_events,4,action,text,text,NO,null
public,verification_events,5,field_name,text,text,YES,null
public,verification_events,6,old_value,text,text,YES,null
public,verification_events,7,new_value,text,text,YES,null
public,verification_events,8,reviewer_id,uuid,uuid,YES,null
public,verification_events,9,notes,text,text,YES,null
public,verification_events,10,created_at,timestamp with time zone,timestamptz,NO,now()
public,workspace_invitations,1,id,uuid,uuid,NO,gen_random_uuid()
public,workspace_invitations,2,manufacturer_id,uuid,uuid,NO,null
public,workspace_invitations,3,email,text,text,NO,null
public,workspace_invitations,4,role,text,text,NO,'manufacturer_reviewer'::text
public,workspace_invitations,5,token_hash,text,text,YES,null
public,workspace_invitations,6,status,text,text,NO,'pending'::text
public,workspace_invitations,7,invited_by,uuid,uuid,YES,null
public,workspace_invitations,8,invited_at,timestamp with time zone,timestamptz,NO,now()
public,workspace_invitations,9,expires_at,timestamp with time zone,timestamptz,YES,null
public,workspace_invitations,10,accepted_at,timestamp with time zone,timestamptz,YES,null
