tablename,policyname,cmd,roles,qual,with_check
manufacturer_embed_widget_systems,manufacturer_embed_widget_systems_write,ALL,{public},"(embed_widget_id IN ( SELECT manufacturer_embed_widgets.id
   FROM manufacturer_embed_widgets
  WHERE (manufacturer_embed_widgets.manufacturer_id IN ( SELECT manufacturer_users.manufacturer_id
           FROM manufacturer_users
          WHERE ((manufacturer_users.auth_user_id = auth.uid()) AND (manufacturer_users.status = 'active'::text))))))",null
manufacturer_embed_widget_systems,manufacturer_embed_widget_systems_read,SELECT,{public},true,null
manufacturer_embed_widgets,manufacturer_embed_widgets_write,ALL,{public},"(manufacturer_id IN ( SELECT manufacturer_users.manufacturer_id
   FROM manufacturer_users
  WHERE ((manufacturer_users.auth_user_id = auth.uid()) AND (manufacturer_users.status = 'active'::text))))",null
manufacturer_embed_widgets,manufacturer_embed_widgets_public_read,SELECT,{public},(status = 'active'::text),null
manufacturer_embed_widgets,manufacturer_embed_widgets_read,SELECT,{public},"(manufacturer_id IN ( SELECT manufacturer_users.manufacturer_id
   FROM manufacturer_users
  WHERE ((manufacturer_users.auth_user_id = auth.uid()) AND (manufacturer_users.status = 'active'::text))))",null
manufacturer_messages,buildquote staff can send messages,INSERT,{authenticated},null,"((sender_type = 'buildquote'::text) AND (get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text])))"
manufacturer_messages,manufacturer_user can send own messages,INSERT,{authenticated},null,"((sender_type = 'manufacturer'::text) AND (sender_user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_messages.manufacturer_id) AND (mu.status = 'active'::text)))))"
manufacturer_messages,buildquote staff can read all messages,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
manufacturer_messages,manufacturer_user can read own messages,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_messages.manufacturer_id) AND (mu.status = 'active'::text))))",null
manufacturer_messages,manufacturer_user can acknowledge buildquote messages,UPDATE,{authenticated},"((sender_type = 'buildquote'::text) AND (EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_messages.manufacturer_id) AND (mu.status = 'active'::text)))))","((sender_type = 'buildquote'::text) AND (EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_messages.manufacturer_id) AND (mu.status = 'active'::text)))))"
manufacturer_stockist_cards,buildquote staff can delete stockist cards,DELETE,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
manufacturer_stockist_cards,manufacturer_user can delete own stockist cards,DELETE,{authenticated},"(EXISTS ( SELECT 1
   FROM (manufacturer_stockists ms
     JOIN manufacturer_users mu ON ((mu.manufacturer_id = ms.manufacturer_id)))
  WHERE ((ms.id = manufacturer_stockist_cards.stockist_id) AND (mu.auth_user_id = auth.uid()) AND (mu.status = 'active'::text))))",null
manufacturer_stockist_cards,buildquote staff can create stockist cards,INSERT,{authenticated},null,"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
manufacturer_stockist_cards,manufacturer_user can create own stockist cards,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM (manufacturer_stockists ms
     JOIN manufacturer_users mu ON ((mu.manufacturer_id = ms.manufacturer_id)))
  WHERE ((ms.id = manufacturer_stockist_cards.stockist_id) AND (mu.auth_user_id = auth.uid()) AND (mu.status = 'active'::text))))"
manufacturer_stockist_cards,buildquote staff can read all stockist cards,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
manufacturer_stockist_cards,manufacturer_user can read own stockist cards,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM (manufacturer_stockists ms
     JOIN manufacturer_users mu ON ((mu.manufacturer_id = ms.manufacturer_id)))
  WHERE ((ms.id = manufacturer_stockist_cards.stockist_id) AND (mu.auth_user_id = auth.uid()) AND (mu.status = 'active'::text))))",null
manufacturer_stockists,buildquote staff can delete stockists,DELETE,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
manufacturer_stockists,manufacturer_user can delete own stockists,DELETE,{authenticated},"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_stockists.manufacturer_id) AND (mu.status = 'active'::text))))",null
manufacturer_stockists,buildquote staff can create stockists,INSERT,{authenticated},null,"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
manufacturer_stockists,manufacturer_user can create own stockists,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_stockists.manufacturer_id) AND (mu.status = 'active'::text))))"
manufacturer_stockists,buildquote staff can read all stockists,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
manufacturer_stockists,manufacturer_user can read own stockists,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = manufacturer_stockists.manufacturer_id) AND (mu.status = 'active'::text))))",null
manufacturer_stockists,buildquote staff can update stockists,UPDATE,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))","(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
