table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
document_pages,4,page_image_storage_key,text,text,YES,null
document_pages,5,page_text,text,text,YES,null
document_pages,6,docling_json,jsonb,jsonb,YES,null
document_pages,7,created_at,timestamp with time zone,timestamptz,NO,now()
extraction_runs,1,id,uuid,uuid,NO,gen_random_uuid()
extraction_runs,2,source_document_id,uuid,uuid,NO,null
extraction_runs,3,run_type,text,text,NO,null
extraction_runs,4,status,text,text,NO,'queued'::text
extraction_runs,5,tool_name,text,text,YES,null
extraction_runs,6,tool_version,text,text,YES,null
extraction_runs,7,model_name,text,text,YES,null
extraction_runs,8,started_at,timestamp with time zone,timestamptz,YES,null
extraction_runs,9,completed_at,timestamp with time zone,timestamptz,YES,null
extraction_runs,10,error_message,text,text,YES,null
extraction_runs,11,created_at,timestamp with time zone,timestamptz,NO,now()
field_verifications,1,id,uuid,uuid,NO,gen_random_uuid()
field_verifications,2,entity_type,text,text,NO,null
field_verifications,3,entity_id,uuid,uuid,NO,null
field_verifications,4,field_name,text,text,NO,null
field_verifications,5,extracted_value,text,text,YES,null
field_verifications,6,verified_value,text,text,YES,null
field_verifications,7,source_document_id,uuid,uuid,YES,null
field_verifications,8,source_page_id,uuid,uuid,YES,null
field_verifications,9,source_chunk_id,uuid,uuid,YES,null
field_verifications,10,source_page_number,integer,int4,YES,null
field_verifications,11,status,text,text,NO,'pending'::text
field_verifications,12,confidence,numeric,numeric,YES,null
field_verifications,13,reviewer_id,uuid,uuid,YES,null
field_verifications,14,reviewed_at,timestamp with time zone,timestamptz,YES,null
field_verifications,15,notes,text,text,YES,null
field_verifications,16,created_at,timestamp with time zone,timestamptz,NO,now()
field_verifications,17,updated_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_assets,1,id,uuid,uuid,NO,gen_random_uuid()
manufacturer_assets,2,manufacturer_id,uuid,uuid,NO,null
manufacturer_assets,3,asset_type,text,text,NO,null
manufacturer_assets,4,title,text,text,YES,null
manufacturer_assets,5,alt_text,text,text,YES,null
manufacturer_assets,6,caption,text,text,YES,null
manufacturer_assets,7,storage_key,text,text,YES,null
manufacturer_assets,8,source_url,text,text,YES,null
manufacturer_assets,9,public_url,text,text,YES,null
manufacturer_assets,10,mime_type,text,text,YES,null
manufacturer_assets,11,file_size_bytes,bigint,int8,YES,null
manufacturer_assets,12,width,integer,int4,YES,null
manufacturer_assets,13,height,integer,int4,YES,null
manufacturer_assets,14,focal_x,smallint,int2,NO,50
manufacturer_assets,15,focal_y,smallint,int2,NO,50
manufacturer_assets,16,approved_for_publication,boolean,bool,NO,false
manufacturer_assets,17,archived,boolean,bool,NO,false
manufacturer_assets,18,created_by,uuid,uuid,YES,null
manufacturer_assets,19,created_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_assets,20,updated_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_embed_widget_systems,1,id,uuid,uuid,NO,gen_random_uuid()
manufacturer_embed_widget_systems,2,embed_widget_id,uuid,uuid,NO,null
manufacturer_embed_widget_systems,3,staged_system_id,uuid,uuid,NO,null
manufacturer_embed_widget_systems,4,sort_order,integer,int4,NO,0
manufacturer_embed_widgets,1,id,uuid,uuid,NO,gen_random_uuid()
manufacturer_embed_widgets,2,manufacturer_id,uuid,uuid,NO,null
manufacturer_embed_widgets,3,public_token,text,text,NO,"encode(gen_random_bytes(24), 'hex'::text)"
manufacturer_embed_widgets,4,status,text,text,NO,'active'::text
manufacturer_embed_widgets,5,created_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_embed_widgets,6,updated_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_messages,1,id,uuid,uuid,NO,gen_random_uuid()
manufacturer_messages,2,manufacturer_id,uuid,uuid,NO,null
manufacturer_messages,3,sender_type,text,text,NO,null
manufacturer_messages,4,sender_user_id,uuid,uuid,YES,null
manufacturer_messages,5,sender_label,text,text,YES,null
manufacturer_messages,6,body,text,text,NO,null
manufacturer_messages,7,message_type,text,text,NO,'general'::text
manufacturer_messages,8,related_publish_batch_id,uuid,uuid,YES,null
manufacturer_messages,9,created_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_messages,10,acknowledged_at,timestamp with time zone,timestamptz,YES,null
manufacturer_stockist_cards,1,id,uuid,uuid,NO,gen_random_uuid()
manufacturer_stockist_cards,2,stockist_id,uuid,uuid,NO,null
manufacturer_stockist_cards,3,card_id,uuid,uuid,NO,null
manufacturer_stockist_cards,4,created_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_stockists,1,id,uuid,uuid,NO,gen_random_uuid()
manufacturer_stockists,2,manufacturer_id,uuid,uuid,NO,null
manufacturer_stockists,3,business_name,text,text,NO,null
manufacturer_stockists,4,suburb,text,text,YES,null
manufacturer_stockists,5,state,text,text,YES,null
manufacturer_stockists,6,phone,text,text,YES,null
manufacturer_stockists,7,website_url,text,text,YES,null
manufacturer_stockists,8,trade_desk_email,text,text,YES,null
manufacturer_stockists,9,all_cards,boolean,bool,NO,true
manufacturer_stockists,10,confirm_token,uuid,uuid,NO,gen_random_uuid()
manufacturer_stockists,11,confirm_status,text,text,NO,'unconfirmed'::text
manufacturer_stockists,12,confirmed_at,timestamp with time zone,timestamptz,YES,null
manufacturer_stockists,13,archived,boolean,bool,NO,false
manufacturer_stockists,14,sort_order,integer,int4,NO,0
manufacturer_stockists,15,created_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_stockists,16,updated_at,timestamp with time zone,timestamptz,NO,now()
manufacturer_users,1,id,uuid,uuid,NO,gen_random_uuid()
